Age,Budget,Interet,Duree,Climat,Destination
57,4745,Aventure,22,Froid,Tokyo
23,1688,Ville,9,Froid,Rio de Janeiro
35,4734,Aventure,21,Tempéré,Sydney
39,3797,Ville,23,Chaud,Le Caire
64,1222,Aventure,22,Chaud,Rio de Janeiro
46,3237,Ville,11,Chaud,Barcelone
20,4930,Ville,25,Froid,Rio de Janeiro
50,3761,Nature,8,Tempéré,Londres
57,1766,Ville,25,Tempéré,Rio de Janeiro
64,2290,Culture,11,Froid,Barcelone
56,1402,Culture,4,Chaud,Paris
41,2774,Plage,26,Tempéré,Paris
27,3211,Culture,15,Tempéré,Rio de Janeiro
69,3040,Nature,16,Chaud,Londres
59,1440,Plage,2,Tempéré,Rio de Janeiro
30,1569,Plage,20,Tempéré,Rio de Janeiro
54,3123,Ville,5,Tempéré,Le Caire
66,1848,Ville,21,Tempéré,Paris
66,3241,Culture,27,Chaud,Londres
41,4419,Culture,13,Tempéré,Tokyo
50,2913,Culture,25,Tempéré,Londres
69,3880,Culture,16,Chaud,Sydney
61,1595,Aventure,8,Froid,Barcelone
41,1258,Plage,16,Chaud,Barcelone
55,899,Nature,6,Chaud,Londres
48,667,Plage,28,Chaud,New York
30,1015,Plage,19,Tempéré,New York
22,3810,Nature,22,Tempéré,Tokyo
26,3348,Plage,23,Froid,Tokyo
31,1402,Aventure,8,Tempéré,Rome
40,2152,Aventure,27,Froid,Tokyo
46,762,Plage,9,Chaud,Rio de Janeiro
39,2127,Aventure,16,Tempéré,Paris
23,1338,Ville,18,Chaud,Bali
69,2058,Nature,29,Chaud,Londres
41,1450,Plage,19,Froid,Tokyo
36,1043,Culture,14,Froid,Tokyo
27,1815,Nature,10,Froid,Rome
50,1606,Nature,18,Froid,Le Caire
24,4491,Aventure,13,Froid,Sydney
63,3396,Aventure,8,Froid,Sydney
29,4718,Nature,10,Tempéré,Rome
52,4787,Culture,15,Froid,New York
57,4326,Culture,13,Tempéré,New York
39,4734,Culture,13,Tempéré,Barcelone
64,3191,Aventure,7,Tempéré,Bali
69,1565,Plage,14,Froid,Rio de Janeiro
44,4175,Plage,6,Tempéré,Sydney
55,3704,Plage,11,Chaud,Paris
31,2804,Aventure,12,Froid,Le Caire
61,1814,Culture,7,Chaud,New York
28,4336,Aventure,2,Froid,Bali
65,2450,Culture,9,Chaud,Tokyo
18,4250,Nature,15,Chaud,New York
36,701,Ville,5,Chaud,Rome
58,1524,Aventure,29,Froid,Rome
59,4632,Nature,6,Froid,Sydney
37,3731,Plage,18,Tempéré,Paris
53,503,Aventure,28,Tempéré,Paris
34,3821,Aventure,11,Froid,Paris
32,4758,Nature,24,Chaud,Bali
57,602,Ville,11,Froid,Le Caire
60,3610,Nature,25,Chaud,Bali
50,2161,Aventure,4,Froid,New York
61,1282,Culture,22,Froid,New York
54,3119,Ville,19,Chaud,Tokyo
35,3772,Culture,8,Tempéré,Barcelone
54,1802,Plage,8,Chaud,Bali
39,4602,Aventure,3,Tempéré,Rome
47,2596,Nature,12,Tempéré,Londres
56,786,Plage,4,Chaud,Bali
32,3429,Plage,17,Froid,Le Caire
48,973,Ville,24,Tempéré,Barcelone
53,3701,Plage,17,Tempéré,Rio de Janeiro
25,2271,Culture,8,Chaud,New York
30,1963,Culture,3,Froid,Tokyo
40,1820,Ville,14,Chaud,Le Caire
21,4686,Aventure,2,Tempéré,Rio de Janeiro
49,3555,Nature,16,Chaud,Paris
53,2845,Culture,3,Chaud,Sydney
49,1387,Aventure,12,Tempéré,Rome
39,1461,Aventure,19,Froid,New York
35,4804,Plage,12,Chaud,Rio de Janeiro
26,3871,Ville,10,Tempéré,Rio de Janeiro
44,2877,Aventure,17,Froid,Le Caire
63,4677,Plage,10,Tempéré,Rio de Janeiro
66,3631,Culture,8,Tempéré,Paris
34,1621,Aventure,17,Froid,Sydney
56,900,Ville,3,Chaud,Paris
19,2589,Nature,27,Tempéré,Rio de Janeiro
38,4823,Ville,7,Chaud,Paris
59,2523,Nature,17,Froid,Barcelone
49,3153,Ville,5,Froid,Rome
69,2200,Nature,4,Chaud,Rome
52,3209,Plage,5,Tempéré,Londres
69,1978,Plage,21,Chaud,Rome
28,1972,Ville,26,Chaud,Le Caire
51,3532,Nature,22,Chaud,Rio de Janeiro
42,786,Aventure,10,Chaud,Le Caire
66,1182,Aventure,16,Froid,Rome
28,1347,Plage,22,Froid,Bali
23,4700,Aventure,29,Froid,Rio de Janeiro
27,1254,Culture,14,Chaud,New York
46,4012,Ville,11,Tempéré,Sydney
49,4866,Culture,4,Tempéré,Le Caire
27,2542,Plage,3,Chaud,Rome
60,798,Ville,29,Froid,New York
63,4271,Culture,13,Froid,Bali
23,2773,Aventure,24,Tempéré,Londres
34,3077,Aventure,6,Froid,New York
21,1042,Culture,16,Chaud,New York
49,1710,Nature,16,Chaud,New York
30,3236,Ville,26,Tempéré,Rome
39,2464,Aventure,11,Froid,Londres
66,1110,Culture,15,Froid,Paris
45,2221,Culture,17,Froid,Le Caire
62,2214,Culture,24,Froid,Bali
19,2218,Plage,9,Chaud,Bali
25,1091,Ville,9,Tempéré,Rio de Janeiro
49,1855,Aventure,25,Chaud,Barcelone
58,978,Nature,12,Froid,New York
52,1559,Culture,29,Tempéré,Paris
68,1893,Aventure,28,Froid,Rio de Janeiro
53,1912,Aventure,3,Chaud,Rome
